TimesH,Frame,1,2,3,4,5,6,7,8,9,10,11,12
84.0,84,91.06,88.911,33.983000000000004,34.549,36.466,35.751999999999995,39.82,36.195,35.44,37.079,40.563,38.809
85.0,85,90.712,88.807,32.544000000000004,32.589,34.931,33.711999999999996,38.18,34.768,33.903,35.794000000000004,39.529,37.6
86.0,86,89.815,88.12700000000001,31.624000000000002,31.07,33.871,32.078,36.201,32.775,32.474000000000004,34.448,38.852,36.458
87.0,87,89.666,87.87100000000001,31.04,29.854,33.191,30.747,34.538000000000004,30.625,31.679000000000002,33.338,38.263000000000005,35.521
88.0,88,88.728,86.69,31.392,29.406,33.528,30.25,33.6,28.291999999999998,31.221999999999998,32.428000000000004,37.852,34.896
89.0,89,89.569,86.147,32.218,29.491999999999997,34.463,30.35,32.376999999999995,26.4,31.090999999999998,31.575,38.049,34.437
90.0,90,90.199,86.113,33.705,30.098000000000003,36.043,30.973000000000003,31.484,25.205,31.427,31.218000000000004,38.278,34.419000000000004
91.0,91,90.18299999999999,86.089,35.734,31.386,38.317,32.332,30.816999999999997,24.094,32.155,31.225,38.933,34.94
92.0,92,90.31299999999999,87.13600000000001,38.531,33.326,41.466,34.385999999999996,30.551,24.044,33.603,31.754,39.951,35.846
93.0,93,90.537,87.406,42.045,35.96,45.405,37.148,31.534000000000002,24.944000000000003,35.48,32.619,41.041000000000004,37.111999999999995
94.0,94,91.12200000000001,88.074,45.86600000000001,39.056999999999995,49.661,40.437,33.272,26.403000000000002,37.943000000000005,33.792,42.318999999999996,38.864000000000004
95.0,95,91.196,88.085,49.55,42.519,53.801,44.058,35.247,27.738000000000003,40.588,35.192,43.81100000000001,40.641999999999996
96.0,96,91.381,88.03,52.777,45.863,57.431999999999995,47.61,37.54,29.691,43.31,36.736,45.22,42.43
97.0,97,91.775,88.85799999999999,55.501999999999995,49.031000000000006,60.541000000000004,50.988,40.016999999999996,32.124,45.672,38.263000000000005,46.409,44.067
98.0,98,93.055,89.671,57.643,51.902,62.93,54.006,42.699,34.774,47.708999999999996,39.571999999999996,47.235,45.472
99.0,99,93.006,89.64200000000001,58.588,53.818000000000005,64.025,56.038999999999994,45.089,37.537,49.136,40.922,47.685,46.361999999999995
100.0,100,93.53299999999999,89.64399999999999,58.638999999999996,54.992,64.09899999999999,57.3,47.147,40.343,49.957,42.028999999999996,48.053999999999995,47.096000000000004
101.0,101,93.351,89.848,57.715,55.363,63.09,57.716,48.739,42.416000000000004,49.81,42.898,48.0,47.633
102.0,102,94.086,91.06200000000001,56.016999999999996,54.876000000000005,61.238,57.227,49.757,44.309,49.495,43.553000000000004,47.608000000000004,47.6
103.0,103,94.787,91.439,54.104,53.95399999999999,59.106,56.269,49.848,44.4,48.543,43.69,47.085,47.556999999999995
104.0,104,94.72200000000001,91.66799999999999,51.493,52.229,56.15,54.492,49.339,44.401,47.167,43.508,46.251999999999995,47.196999999999996
105.0,105,94.28299999999999,91.281,48.586000000000006,50.2,52.905,52.343,48.191,43.593999999999994,45.381,43.086000000000006,45.722,46.305
106.0,106,94.11200000000001,91.654,45.553000000000004,47.769,49.498000000000005,49.769,46.831,42.246,43.458999999999996,42.582,44.81399999999999,45.068000000000005
107.0,107,93.977,92.209,42.856,45.458999999999996,46.451,47.365,45.08,40.711999999999996,41.23,41.533,44.254,43.925
108.0,108,93.90700000000001,92.149,40.027,42.86,43.295,44.501999999999995,42.691,38.903,39.054,40.332,43.635,42.486999999999995
109.0,109,92.272,90.995,38.118,40.271,41.169,41.806999999999995,40.069,36.724000000000004,36.768,38.865,42.847,41.107
110.0,110,91.321,90.10799999999999,36.328,37.906,39.16,39.312,37.591,34.673,34.889,37.275,42.453,39.842
111.0,111,90.596,90.45,35.105,35.57,37.765,36.836,35.169000000000004,32.325,33.162,35.821,41.662,38.311
112.0,112,90.595,90.65799999999999,34.471,33.863,37.088,35.003,33.128,30.353,31.835,34.419000000000004,41.336000000000006,37.525999999999996
113.0,113,89.62799999999999,90.215,34.358000000000004,32.668,36.946999999999996,33.732,31.392,28.294,30.822,32.994,40.758,36.943000000000005
114.0,114,88.73299999999999,89.3,34.872,32.302,37.49,33.306,30.206,26.513,30.573,32.074,40.486,36.224000000000004
115.0,115,88.07799999999999,89.05799999999999,35.705,32.395,38.364000000000004,33.388000000000005,29.329,25.34,30.708000000000002,31.42,40.275999999999996,36.008
116.0,116,87.694,88.648,37.263000000000005,33.066,40.089,34.077,28.963,24.538,31.523000000000003,30.955,40.415,36.266
117.0,117,87.344,88.1,39.586999999999996,34.354,42.648,35.36,29.413,24.428,32.897,31.024,41.104,36.84
118.0,118,87.04,87.542,42.125,36.143,45.45399999999999,37.268,30.939,25.095,34.816,31.593000000000004,41.783,38.014
119.0,119,86.68299999999999,86.93700000000001,44.93,38.284,48.565,39.51,33.056999999999995,26.424,37.036,32.423,42.766999999999996,39.208
120.0,120,87.12299999999999,87.01700000000001,47.637,40.833,51.623000000000005,42.218,35.806999999999995,28.408,39.492,33.52,43.537,40.549
121.0,121,87.329,87.245,50.188,43.766999999999996,54.437,45.298,39.074,31.144000000000002,42.025,34.826,44.406000000000006,41.876000000000005
122.0,122,87.25299999999999,86.89,52.07899999999999,46.225,56.568000000000005,47.909,42.323,34.102,44.56,36.193000000000005,45.177,43.138999999999996
123.0,123,87.83,86.78200000000001,53.666000000000004,48.531000000000006,58.294,50.349,45.318000000000005,37.295,46.523999999999994,37.385999999999996,45.702,44.343999999999994
124.0,124,88.863,86.823,54.586000000000006,50.66,59.383,52.628,47.772,40.198,47.79600000000001,38.617,45.93899999999999,45.419
125.0,125,89.639,87.04,54.809,52.162,59.674,54.253,49.672,42.958999999999996,48.323,39.465,45.92100000000001,46.239
126.0,126,89.95200000000001,87.185,54.28,53.016000000000005,59.07899999999999,55.163000000000004,50.831,44.783,48.326,40.195,45.698,46.622
127.0,127,90.363,86.721,53.318000000000005,53.327,58.038000000000004,55.497,51.413000000000004,46.004,47.98,40.536,45.205,46.493
128.0,128,90.32600000000001,86.51299999999999,51.72,52.708,56.263000000000005,54.881,51.161,46.137,46.675,40.687,44.75899999999999,46.291000000000004
129.0,129,90.456,86.48700000000001,49.973,51.496,54.286,53.611999999999995,49.888999999999996,45.75,45.248000000000005,40.64,44.011,45.756
130.0,130,90.464,86.322,47.506,49.748000000000005,51.556000000000004,51.763000000000005,47.832,44.71,43.336000000000006,40.286,43.225,44.763999999999996
131.0,131,90.01299999999999,86.021,45.199,47.519,48.948,49.435,45.17,43.501000000000005,41.256,39.691,42.317,43.63399999999999
132.0,132,89.71600000000001,86.145,42.755,45.098,46.239,46.873000000000005,42.505,41.595,39.196999999999996,39.025999999999996,41.64,42.282
133.0,133,89.206,86.096,40.312,42.721000000000004,43.481,44.409,39.485,39.223,37.038000000000004,37.927,41.276,41.175
134.0,134,88.663,85.917,38.069,40.312,41.007,41.825,36.475,36.632,34.827,36.679,40.555,39.864000000000004
135.0,135,87.803,85.78399999999999,36.03,37.992,38.696999999999996,39.327,33.688,33.913000000000004,32.758,35.255,39.845,38.628
136.0,136,86.76700000000001,85.838,34.577,35.819,37.096,37.042,31.31,31.351999999999997,31.131999999999998,33.894,39.233000000000004,37.614000000000004
137.0,137,86.046,85.917,33.453,33.939,35.858000000000004,35.041,29.436,29.131,30.024,32.781,38.733000000000004,36.57
138.0,138,85.09100000000001,85.535,32.922,32.554,35.265,33.559,27.81,27.271,29.138,31.629,38.593,36.035
139.0,139,83.665,84.834,32.732,31.519000000000002,35.024,32.464,26.756,25.183000000000003,28.898000000000003,30.779,38.647,35.723
140.0,140,82.065,83.74700000000001,33.199,31.092,35.516999999999996,31.978,26.215999999999998,23.993000000000002,29.094,30.228,38.766999999999996,35.736
141.0,141,81.737,83.925,34.262,31.276999999999997,36.653,32.132,26.394000000000002,23.454,29.909000000000002,30.031,39.19,35.955
142.0,142,80.875,83.72399999999999,35.900999999999996,31.918000000000003,38.482,32.793,27.454,23.448,31.296,30.271,39.829,36.488
143.0,143,80.59100000000001,83.735,37.792,33.102,40.553000000000004,34.018,29.491999999999997,24.487,33.117,30.744,40.643,37.344
